date,cases,deaths,recovered,month,day_of_week,cases_change,deaths_change,cases_ma7,deaths_ma7
2022-12-22,655963530,6676603,0,12,3,0.11568369404140189,0.039931446771013235,654018625.7142857,6670099.142857143
2022-12-23,656604975,6679286,0,12,4,0.09778668640312294,0.04018510610859227,654590007.2857143,6672034.857142857
2022-12-24,656949354,6680275,0,12,5,0.05244842989500231,0.014806971882919129,655167661.1428572,6673996.0
2022-12-25,657135648,6681140,0,12,6,0.028357437124437723,0.012948568734061361,655731396.4285715,6675967.714285715
2022-12-26,657655053,6682247,0,12,0,0.07904075841582703,0.016569028638824257,656285559.4285715,6677837.428571428
2022-12-27,658309208,6684351,0,12,1,0.09946779805247719,0.03148641467458635,656831904.5714285,6679691.428571428
2022-12-28,658946340,6687147,0,12,2,0.0967830910242995,0.041829042191232624,657366301.1428572,6681578.428571428
2022-12-29,659617625,6690067,0,12,3,0.10187248327382381,0.04366585630612985,657888314.7142857,6683501.857142857
2022-12-30,660199728,6692483,0,12,4,0.08824855157560929,0.03611324071941535,658401850.8571428,6685387.142857143
2022-12-31,660463792,6693376,0,12,5,0.03999759297084182,0.013343328627057893,658903913.4285715,6687258.714285715
2023-01-01,660778387,6694422,0,1,6,0.04763243705567799,0.015627390423000875,659424304.7142857,6689156.142857143
2023-01-02,661198108,6695785,0,1,0,0.06351917802662754,0.020360234236793673,659930455.4285715,6691090.142857143
2023-01-03,661660893,6698027,0,1,1,0.06999188206993079,0.03348375134506476,660409267.5714285,6693043.857142857
2023-01-04,662231345,6700950,0,1,2,0.0862151603691741,0.043639716591159505,660878554.0,6695015.714285715
2023-01-05,662966595,6704613,0,1,3,0.11102615506670688,0.05466389094084256,661356978.2857143,6697093.714285715
2023-01-06,663685449,6707751,0,1,4,0.10842989758783617,0.04680359627020625,661854938.4285715,6699274.857142857
2023-01-07,664042494,6708702,0,1,5,0.05379732229144896,0.014177628239320228,662366181.5714285,6701464.285714285
2023-01-08,664369944,6709761,0,1,6,0.04931160324206374,0.015785467889317673,662879261.1428572,6703655.571428572
2023-01-09,664718936,6711921,0,1,0,0.05252976946832355,0.032191906686396266,663382236.5714285,6705960.714285715
2023-01-10,665113877,6714281,0,1,1,0.05941473585462376,0.03516131968777092,663875520.0,6708282.714285715
2023-01-11,665620426,6717557,0,1,2,0.07615974008612358,0.04879152361958461,664359674.4285715,6710655.142857143
2023-01-12,666097539,6720999,0,1,3,0.0716794409190813,0.05123886555782331,664806952.1428572,6712996.0
2023-01-13,666533383,6723980,0,1,4,0.06543245913419593,0.04435352542084825,665213799.8571428,6715314.428571428
2023-01-14,666754735,6724994,0,1,5,0.03320943941378385,0.015080354194996204,665601262.8571428,6717641.857142857
2023-01-15,666951599,6785897,0,1,6,0.029525699581278708,0.9056216258334304,665970070.7142857,6728518.428571428
2023-01-16,667166217,6787220,0,1,0,0.03217894676641464,0.01949631714126543,666319682.2857143,6739275.428571428
2023-01-17,667518310,6789239,0,1,1,0.052774404792743645,0.02974708348926214,666663172.7142857,6749983.714285715
2023-01-18,667896028,6792400,0,1,2,0.056585414113952126,0.046558973693522354,666988258.7142857,6760675.571428572
2023-01-19,668220526,6796012,0,1,3,0.048585107022081075,0.053177080266175736,667291542.5714285,6771391.714285715
2023-01-20,668562246,6799459,0,1,4,0.05113880623295319,0.05072092280002938,667581380.1428572,6782174.428571428
2023-01-21,668715650,6812953,0,1,5,0.02294535788069929,0.1984569654732926,667861510.8571428,6794740.0
2023-01-22,668830077,6813633,0,1,6,0.017111458360519194,0.009980987686253329,668129864.8571428,6798702.285714285
2023-01-23,669001131,6815188,0,1,0,0.02557510582765765,0.02282189252047484,668391995.4285715,6802697.714285715
2023-01-24,669272951,6817236,0,1,1,0.04063072353759356,0.030050528319991443,668642658.4285715,6806697.285714285
2023-01-25,669567171,6819539,0,1,2,0.04396113716540473,0.033782019575090416,668881393.1428572,6810574.285714285
2023-01-26,669848920,6822660,0,1,3,0.042079273328043953,0.04576555688002859,669114020.8571428,6814381.142857143
2023-01-27,670086844,6824464,0,1,4,0.03551905405774214,0.026441300020807468,669331820.5714285,6817953.285714285
2023-01-28,670220207,6831519,0,1,5,0.01990234567268434,0.1033780821468211,669546757.2857143,6820605.571428572
2023-01-29,670344054,6832256,0,1,6,0.018478553571865675,0.01078823026035014,669763039.7142857,6823266.0
2023-01-30,670503932,6833468,0,1,0,0.023850140692083244,0.01773938213087689,669977725.5714285,6825877.428571428
2023-01-31,670734589,6835338,0,1,1,0.03440054397771952,0.02736531436160483,670186531.0,6828463.428571428
2023-02-01,671032404,6838027,0,2,2,0.04440131832832428,0.03933967859379717,670395850.0,6831104.571428572
2023-02-02,671291489,6840771,0,2,3,0.03860990891879634,0.04012853415173989,670601931.2857143,6833691.857142857
2023-02-03,671529548,6843097,0,2,4,0.03546283602591238,0.034002015269907204,670808031.8571428,6836353.714285715
2023-02-04,671632287,6847046,0,2,5,0.01529925232717222,0.0577077893240352,671009757.5714285,6838571.857142857
2023-02-05,671721476,6847646,0,2,6,0.013279439021363082,0.008762903009551515,671206532.1428572,6840770.428571428
2023-02-06,671867463,6848667,0,2,0,0.021733263743373143,0.014910233385312388,671401322.2857143,6842941.714285715
2023-02-07,672065240,6849942,0,2,1,0.02943690696330936,0.018616761480738653,671591415.2857143,6845028.0
2023-02-08,672295338,6851942,0,2,2,0.03423744992376854,0.02919732751021087,671771834.4285715,6847015.857142857
2023-02-09,672554241,6854280,0,2,3,0.03851030720667392,0.03412171323107227,671952227.5714285,6848945.714285715
2023-02-10,672696324,6855413,0,2,4,0.021125879719186003,0.016529817865618135,672118909.8571428,6850705.142857143
2023-02-11,672828531,6856046,0,2,5,0.019653296039123802,0.009233579362755151,672289801.8571428,6851990.857142857
2023-02-12,672906177,6856419,0,2,6,0.011540235947582467,0.0054404535792196285,672459044.8571428,6853244.142857143
2023-02-13,673044131,6857217,0,2,0,0.020501223605196017,0.011638728613294624,672627140.2857143,6854465.571428572
2023-02-14,673237731,6858411,0,2,1,0.028764829984084805,0.01741231172938118,672794639.0,6855675.428571428
2023-02-15,673477639,6859933,0,2,2,0.035634960572350494,0.02219172925039814,672963539.1428572,6856817.0
2023-02-16,673685532,6862019,0,2,3,0.03086858240886059,0.030408460257547176,673125152.1428572,6857922.571428572
2023-02-17,673878833,6863873,0,2,4,0.02869306090427237,0.02701828718341126,673294082.0,6859131.142857143
2023-02-18,673969796,6864248,0,2,5,0.013498420716828718,0.0054633877986987045,673457119.8571428,6860302.857142857
2023-02-19,674056229,6864711,0,2,6,0.012824461943683474,0.006745094291460418,673621413.0,6861487.428571428
2023-02-20,674143589,6865287,0,2,0,0.012960343105139494,0.00839073924598921,673778478.4285715,6862640.285714285
2023-02-21,674323721,6866088,0,2,1,0.02672012356703668,0.011667392783443198,673933619.8571428,6863737.0
2023-02-22,674569824,6867909,0,2,2,0.03649626912649584,0.026521652504318816,674089646.2857143,6864876.428571428
2023-02-23,674790916,6869817,0,2,3,0.032775257969430704,0.02778138149470699,674247558.2857143,6865990.428571428
2023-02-24,674933342,6870806,0,2,4,0.021106686030125665,0.014396307791031404,674398202.4285715,6866980.857142857
2023-02-25,674978793,6871024,0,2,5,0.0067341464959014274,0.0031728446415080214,674542344.8571428,6867948.857142857
2023-02-26,675044414,6871268,0,2,6,0.009721935071227428,0.0035511446328850838,674683514.1428572,6868885.571428572
2023-02-27,675171439,6871808,0,2,0,0.01881728036934316,0.007858811503203,674830349.8571428,6869817.142857143
2023-02-28,675322238,6872682,0,2,1,0.02233491988692382,0.01271863241814053,674972995.1428572,6870759.142857143
2023-03-01,675542852,6874463,0,3,2,0.032667960210130964,0.025914191868614544,675111999.1428572,6871695.428571428
2023-03-02,675731911,6876031,0,3,3,0.027986233506926972,0.022809054321770716,675246427.0,6872583.142857143
2023-03-03,675914580,6877325,0,3,4,0.027032762109713282,0.018818996016745082,675386603.8571428,6873514.428571428
2023-03-04,675968775,6877601,0,3,5,0.008018024999545403,0.004013188267237844,675528029.8571428,6874454.0
2023-03-05,676024901,6877749,0,3,6,0.008303046246482815,0.0021519131452985008,675668099.4285715,6875379.857142857
2023-03-06,676082941,6878115,0,3,0,0.008585482563461255,0.0053215085342506185,675798314.0,6876280.857142857
2023-03-07,676213378,6879038,0,3,1,0.019293047064183888,0.013419374348933033,675925619.7142857,6877188.857142857
2023-03-08,676392824,6880483,0,3,2,0.026536889957839982,0.021005844131116724,676047044.2857143,6878048.857142857
2023-03-09,676570149,6881802,0,3,3,0.02621627458305742,0.01917016581538533,676166792.5714285,6878873.285714285
